eid,eulerLeft,eulerRight,site
sub-NDARNM708YTF,61,82,Site-RU
sub-NDARNM783ZVV,54,34,Site-RU
sub-NDARNN142WYB,37,42,Site-RU
sub-NDARNN218UGY,18,30,Site-RU
sub-NDARNR459MUJ,92,107,Site-RU
sub-NDARNR709MMQ,288,186,Site-RU
sub-NDARNR734JZH,41,61,Site-RU
sub-NDARNR773DL4,48,24,Site-RU
sub-NDARNT043XGH,165,105,Site-RU
sub-NDARNT245TP0,431,376,Site-RU
sub-NDARNT541VT2,19,22,Site-RU
sub-NDARNU137XR4,287,258,Site-RU
sub-NDARNU497GTX,245,223,Site-RU
sub-NDARNV399BV4,449,427,Site-RU
sub-NDARNV694EMG,70,51,Site-RU
sub-NDARNX125KJ1,45,27,Site-RU
sub-NDARNX218UY5,104,100,Site-RU
sub-NDARNX223DY3,93,80,Site-RU
sub-NDARNY023FWG,125,101,Site-RU
sub-NDARNY875DR2,718,553,Site-RU
sub-NDARNY894TH7,230,215,Site-RU
sub-NDARNZ610KZY,36,25,Site-RU
sub-NDARNZ615UEU,40,25,Site-RU
sub-NDARNZ792HBN,324,380,Site-RU
sub-NDARNZ917TDK,74,49,Site-RU
sub-NDARPA570LBF,32,31,Site-RU
sub-NDARPA827UBJ,358,516,Site-RU
sub-NDARPB619PHV,453,485,Site-RU
sub-NDARPC714TKA,572,496,Site-RU
sub-NDARPC817XZ5,32,31,Site-RU
sub-NDARPD029JVJ,468,488,Site-RU
sub-NDARPD568LHV,70,37,Site-RU
sub-NDARPE056ACA,41,49,Site-RU
sub-NDARPF179GNV,90,32,Site-RU
sub-NDARPF395NV5,18,22,Site-RU
sub-NDARPG134TF1,258,222,Site-RU
sub-NDARPG847LB8,41,38,Site-RU
sub-NDARPH834YB1,369,357,Site-RU
sub-NDARPH844KP2,75,57,Site-RU
sub-NDARPH923FN7,202,163,Site-RU
sub-NDARPK237YHD,172,179,Site-RU
sub-NDARPK300HMV,39,35,Site-RU
sub-NDARPL201YL4,217,155,Site-RU
sub-NDARPL306LC6,58,36,Site-RU
sub-NDARPM105MKA,31,24,Site-RU
sub-NDARPP622WV4,111,92,Site-RU
sub-NDARPP726XBF,60,35,Site-RU
sub-NDARPT910NEE,88,86,Site-RU
sub-NDARPU897CM5,43,44,Site-RU
sub-NDARPV009TYX,132,97,Site-RU
sub-NDARPV145KGL,156,187,Site-RU
sub-NDARPV303LAX,156,138,Site-RU
sub-NDARPW313LAJ,517,555,Site-RU
sub-NDARPW577WJ7,314,318,Site-RU
sub-NDARPW635LN4,77,49,Site-RU
sub-NDARPW786GC4,52,45,Site-RU
sub-NDARPW915RGD,187,112,Site-RU
sub-NDARPX155RF3,126,155,Site-RU
sub-NDARPX219TW0,18,19,Site-RU
sub-NDARPZ344ZGE,67,60,Site-RU
sub-NDARRA537FWW,48,26,Site-RU
sub-NDARRA717GYV,173,193,Site-RU
sub-NDARRA767WB7,97,76,Site-RU
sub-NDARRA933RLX,38,42,Site-RU
sub-NDARRB338YZ0,150,143,Site-RU
sub-NDARRB359CRR,81,46,Site-RU
sub-NDARRB942UWU,23,30,Site-RU
sub-NDARRC016UZE,245,151,Site-RU
sub-NDARRC190NKB,64,54,Site-RU
sub-NDARRD943ZWU,26,26,Site-RU
sub-NDARRF897HB5,133,156,Site-RU
sub-NDARRG199RU4,69,41,Site-RU
sub-NDARRH285LR3,77,98,Site-RU
sub-NDARRH344TL7,127,81,Site-RU
sub-NDARRJ989YPA,54,49,Site-RU
sub-NDARRK213WCF,47,30,Site-RU
sub-NDARRL660CME,335,328,Site-RU
sub-NDARRL685WB7,216,195,Site-RU
sub-NDARRM073JKA,66,57,Site-RU
sub-NDARRM122UPB,102,102,Site-RU
sub-NDARRM320RHN,154,177,Site-RU
sub-NDARRP008LJ6,41,42,Site-RU
sub-NDARRP163YRC,57,58,Site-RU
sub-NDARRP384BVX,76,42,Site-RU
sub-NDARRP801AX1,34,26,Site-RU
